Time (us),Address,RSSI (dBm),Raw data,Connectable,Addr Type
24648244594,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24650257004,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24652255107,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24656282785,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24658259852,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24660272827,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24662274308,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24664275690,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24666305757,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24668291184,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24670307331,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24672301968,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24674318243,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24676327661,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24678312017,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24680321140,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24682330861,DF:F7:AE:55:E9:40,-29,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24686329249,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24688344443,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24690342175,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24692350025,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24694380259,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24696380108,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24698400186,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24700370737,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24702375209,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24704383265,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24708395120,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24710391517,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24714401861,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24718415897,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24720413711,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24722421557,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24726433252,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24728439066,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24730444882,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24732443509,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24734453560,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24738460693,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24740461573,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24742467981,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24744470453,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24746478837,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24754485722,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24756517188,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24758506717,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24760499196,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24764528645,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24766513294,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24768520590,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24770564476,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24776552587,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24778543769,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24780543544,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24782549862,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24784570139,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24786565542,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24792570274,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24794585177,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24798585395,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24800591829,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24802592146,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24804592239,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24806599012,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24810615748,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24812647584,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24814615025,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24816616424,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24818620804,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24822636278,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24824630346,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24826637729,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24828638203,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24832644571,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24834648133,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24836657820,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24840663900,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24842673975,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24844682098,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24846686559,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24848692478,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24850704647,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
