PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 05:42:54.355,2896334948,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:56.358,2898341763,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:58.371,2900347009,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:43:00.407,2902350852,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:43:02.434,2904381998,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:43:04.357,2906348426,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:43:06.387,2908368565,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:43:08.387,2910361154,db:c9:83:9f:37:a3,-37,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:43:09.003,2910986048,db:c9:83:9f:37:a3,-23,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:11.026,2912995992,db:c9:83:9f:37:a3,-23,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:15.037,2917029077,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:17.043,2919026555,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:19.166,2921023951,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:21.047,2923022976,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
